TI,AU,PY
TESTING OSM’S EXPRESSIVENESS AND APPEAL MAPPING A CITY BEING REBUILT; STATE OF THE HUMANITARIAN OPENSTREETMAP TEAM,"BARNES, HUGH; CHAPMAN, KATE",2012
CLEAN UP THE WORLD WITH LETSDOITWORLD ORG,"LAINESTE, JAAK",2012
WHEELMAP,"KRAUTHAUSEN, RAUL",2012
DETECTION OF COMPLEX JUNCTIONS IN OSM DATA FOR AUTOMOTIVE NAVIGATION APPLICATIONS,"BRUNNER, DOMINIK",2012
KAOHSIUNG CITY BUS ROUTING SYSTEM; OPENSCIENCEMAPS MULTI-SCALE VECTOR TILE MAPS,"LIU, CHINE-HUNG; SCHMID, FALKO",2012
BUILDING CAR NAVIGATION WITH OSM; STATE OF FRANCE,"KANDAL, PHILIPP; LAFFRAY, EMILIE",2012
USING OPENSTREETMAP ROAD NETWORK DATA FOR EMERGENCY ROUTING; OPEN DATA ON THE OPEN PLATFORM,"CHOOSUMRONG, SITTICHAI; ITO, MASAKI",2012
IXE FROM WEB TO URBAN NAVIGATION; INTEGRATING OSM WITH TRADITIONAL & ENTERPRISE GIS WORKFLOWS,"LEMORDANT, JACQUES; JOHNSON, JEFFREY",2012
THE API OPENSTREETMAP FR EXPERIMENT; STATE OF THE UNIVERSITY SCHOOL GIS EDUCATION USING OPENSTREETMAP,"QUEST, CHRISTIAN; NISHIMURA, YUICHIRO",2012
ROUTING ON THE DAILY PLANET; RECONSTRUCTION OF PEOPLE FLOW IN BIG CITIES USING OSM DATA,"LUXEN, DENNIS; SEKIMOTO, YOSHIHIDE",2012
TRAFFIC ON OSM; OSM & DIY GPS LOGGER,"PETERSON, RYAN; TANAKA, TOSHIHISA",2012
ALL PRESENT AND CORRECT,"MILLER, PETER",2012
PARKING MAP MAKE AND BREAK STUFF,"DRANGMEISTER, KAY",2012
OSM PIRATE OR PILOT,"BARR, BOB",2012
MAKING A BETTER MAP IMPROVING OPENSTREETMAP WITH FOURSQUARE; GEOSNACHING A SOCIAL GAME FOR COMMUNITY MAPPING AND OPEN MULTIMEDIA DATA GENERATION,"BARTH, ALEX; CHATTOPADHYAYA, ISHAN",2012
MAPPING OF HISTORICAL PLACES IN JAPAN; RAILWAY=SUBWAY!,"INOUE, KINYA; BOZON, NICOLAS",2012
LINKING WIKIPEDIA AND OTHER WIKMEDIA PROJECTS WITH OPENSTREETMAP; USING TILEMILL TO DESIGN BEAUTIFUL MAPS,"FILBERT, KATIE; KÄFER, KONSTANTIN",2012
MAPIT BARRIER-FREE MICRO-MAPPING WITH LOW-COST SMARTPHONES; OPTIMISING THE MAPNIK OSM2PGSQL RENDERING TOOLCHAIN,"SCHMID, FALKO; RAMM, FREDERIK",2012
GSI’S ACTIVITIES FOR GEOSPATIAL INFORMATION APPLICATIONS,"MURAKAMI, HIROSHI",2012
OPENSTREETMAP EDITOR,"LAFFRAY, EMILIE",2012
YOU KNOW WHEN YOU ARE ADDICTED TO OSM WHEN…,"WATERS, TIM",2012
THE OPENSTREETMAP REVOLUTION,"COAST, STEVE",2013
OPENSTREETMAP: FIT FOR BUSINESS USE,"MILLER, PETER",2013
THE COMMERCIAL USE OF OSM: HOW TO FOSTER GREATER COLLABORATION BETWEEN THE COMMERCIAL USERS AND BROADER OSM COMMUNITY,"EXEL, MARTIJN VAN",2013
LESSONS FROM THE CROWD: HOW TO BE TRULY AUTHORITATIVE,"HAAR, PETER TER",2013
THE STRUGGLE OF SHARE-ALIKE,"SPIGT, ARJAN",2013
HOW AND WHY GOVERNMENTS SHOULD USE (AND ARE USING) OPENSTREETMAP MORE,"LANCASTER, PETE",2013
OSM-GB: EXAMINING THE DYNAMICS OF OSM,"MORLEY, JEREMY",2013
NATIONAL TRUST: THE EXPLORATORY JOURNEY WE’VE BEEN ON WITH OSM,"DAVIES, HUW",2013
OSM AS A BASE LAYER IN A OPEN LINKED DATA DISTRIBUTION PLATFORM,"SPAAN, BERT",2013
SEEING THE LIGHT: UNEXPECTED WAYS TO USE OPEN DATA FOR OSM,"CLOUGH, JERRY",2013
ANNOTATING THE MAP FOR THE UNIVERSITY OF CAMBRIDGE,"EARL, DAVID",2013
HOW TO BUILD A SMARTER CITY: DESIGN PRINCIPLES FOR DIGITAL URBANISM,"ROBINSON, RICK",2013
OPEN HISTORICAL MAP: RE-USING OUTDATED INFORMATION,"EVANS, DAVID",2013
OSM2WORLD: 3D RENDERING FOR OPENSTREETMAP,"KNERR, TOBIAS",2013
MORE THAN A ROUTER: CREATING AN ECOSYSTEM OF PRODUCTS USING,"LUCAS-SMITH, MARTIN",2013
WHAT CAN GOVERNMENT LEARN FROM OSM,"RODEN, BILLY",2013
LOWERING THE TECHNICAL BARRIER TO USING OSM,"FREYFOGLE, ED",2013
FIXMYBARANGAY: OSM IN CEBU PHILIPPINES,"WHITELAND, DAVE; TAYLOR, NEIL",2013
THE STORY BEHIND MICHELIN'S FIRST OSM BASED MAP,"QUEST, CHRISTIAN",2013
WIKIMAPS,"ÅNÄS, SUSANNA",2013
STATE OF THE HUMANITARIAN OPENSTREETMAP TEAM,"CHAPMAN, KATE",2013
OSM AND DISABILITY: BEYOND WHEELCHAIR=*,"QUEST, CHRISTIAN",2013
OPEN ADDRESSING: THE LAST FRONTIER,"BARR, ROBERT",2013
FIXMYPATHS: A NATIONWIDE PATH REPORTING SYSTEM,"WHITELEGG, NICK",2013
THE OPENDATA POSTCODE FINDER,"WILLIAMS, MATT",2013
OSM COUNCIL USE: UK LOCAL GOVERMENT ROUNDUP,"SLADEN, PAUL",2013
A SURVEY OF INDIAN ADDRESS FORMATS: A GEOCODING CHALLENGE,"JHA, MITALI",2013
CHANGING THE RATIO OF OPENSTREETMAP COMMUNITIES,"WRIGHT, ALYSSA",2013
YOU ARE NOT THE CROWD,"FAIRHURST, RICHARD",2013
ZONE DE COMBAT,"CLOUGH, JERRY",2013
BREWCAMP: WHERE ELSE ARE YOU DOING IT,"CARR, JUDITH",2013
SIGNALS AND NOISES: A LOOK AT OPENSTREETMAP THROUGH ITS MAILING LISTS,"RAMM, FREDERICK",2013
MAPPING WESTERN AFRICA,"CHAVENT, NICOLAS",2013
THE COLLABORATION NETWORK IN OSM: THE CASE OF ITALY,"NAPOLITANO, MAURIZIO",2013
MAPPING FOR CHANGE WITH COMMUNITY GROUPS IN SCOTLAND,"FOSTER, TIM",2013
UMAPPIN: OSM DATA BASED SOCIAL NETWORK,"PIJOAN, ANDER",2013
THE MAP IS NOT WHAT'S THERE: PSYCHOGEOGRAPHY AND OSM,"WATERS, TIM",2013
THOSE 3% FEMALE OPENSTREETMAP MAPPERS,"SCHMIDT, MANUELA; KLETTNER, ILVIA; STEINMANN, RENATE; HÄUSLER, ELISABETH; LIN, YUWEI",2013
OSMOSE: A QUALITY ASSURANCE TOOL,"RODRIGO, FREDÉRIC",2013
THE BRONZE AGE OF OPENSTREETMAP,"ZVEREV, ILYA",2013
USING THE HISTORY OF OSM FOR QUALITY ASSESSMENT,"BARRON, CHRISTOPHER",2013
CUSTOMIZABLE INTERACTIVE AUDIO RENDERING OF OSM MAPS,"LEMORDANT, JACQUES",2013
OPENDATA: IMPORTS AND AFTER...,"QUEST, CHRISTIAN; RODRIGO, FREDÉRIC",2013
HOW OSM HAS CHANGED MY LIFE: A NEWBIE'S PERSPECTIVE OF RURAL MAPPING IN THE UK,"IBBETT, DUDLEY",2013
EVOLVING THE MAP TO COMPLETENESS,"COLLINS, GUY",2013
AUGMENTED AND VIRTUAL REALITY FOR HIKERS: RECENT WORK,"WHITELEGG, NICK",2013
CHANGE IS RELATIVE: PERSISTENCE IN URBAN ENVIRONMENTS,"CLOUGH, JERRY",2013
HOW A MAP CAN GO VIRAL (IN 8 SIMPLE STEPS),"GALE, GARY",2013
MAPPING FOR TRANSITION: COMPARISONS WITH THE OSM COMMUNITY,"COLLINS, GUY",2013
GEOCODING WITH SOLR,"LINGG, CHRISTOPH",2013
CHANGE RECRUITMENT: MIX AND MATCH WITH CITIZEN SCIENTISTS AND ENVIRONMENTAL VOLUNTEERS,"GLIOZZO, GIANFRANCO",2013
ENGLAND CYCLING DATA PROJECT (SHORT TALK),"LUCAS-SMITH, MARTIN",2013
LIFE IS A GAME (SHORT TALK),"KELLER, STEFAN",2013
PUTTING THE CARTO INTO OPENSTREETMAP CARTOGRAPHY,"ALLAN, ANDY",2013
OSM AND MICRO MOBILITY: MAPPING TACTILE PAVEMENTS WITH SCOOTERS,"MICHEL, THIBAUD",2013
HAPTOMAI: AN ONLINE SERVICE FOR CUSTOMIZABLE TACTILE MAPS,"GRAF, CHRISTIAN; WIPPICH, FRANK",2013
VISUALISING PROGRESS,"RETHANS, DERICK",2013
OPENSTREETMAP IN TRADITIONAL DEVELOPMENT AND HUMANITARIAN ORGANIZATIONS,"CHAPMAN, EXTENDED SESSION,KATE",2013
REFINING A VISION FOR OPENSTREETMAP.ORG,"FIREBAUGH, JOHN",2013
MANAGING OSM DATA ON WINDOWS: ADMIT IT_ YOU KNOW YOU WANT TO,"LARSEN, SAM",2013
TUBE TO CHUNNEL: UNDERGROUND MAPPING,"SLADEN, PAUL",2013
EFFICIENT HOUSE NUMBER MAPPING WITH KEYPAD-MAPPER 3,"SEMM, MARKUS",2013
USE OF UAV IN HAITI,"MOINE, FREDERIC",2013
WHAT DOES THE FUTURE HOLD FOR TRADITIONAL STYLE MAPPERS,"INOUE, KINYA",2013
